cpu_count = 16
cpu_user = 3555, cpu_system = 5389, cpu_nice = 106
cpu_idle = 6098247, cpu_iowait 23302, cpu_irq = 0
 cpu_softirq= 176, cpu_steal 0, cpu_guest = 0
pid = 114, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 115, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 116, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 123, utime = 3, stime = 0, cutime = 0, cstime = 0
pid = 163, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 164, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 165, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 166, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 167, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 168, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 169, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 170, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 171, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 173, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 175, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 176, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 178, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 179, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 180, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 181, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 182, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 183, utime = 4, stime = 0, cutime = 0, cstime = 0
pid = 185, utime = 2, stime = 4, cutime = 0, cstime = 0
pid = 186, utime = 3, stime = 6, cutime = 0, cstime = 0
pid = 188, utime = 0, stime = 13, cutime = 0, cstime = 0
pid = 189, utime = 0, stime = 28, cutime = 0, cstime = 0
pid = 190, utime = 5, stime = 22, cutime = 0, cstime = 0
pid = 192, utime = 0, stime = 7, cutime = 0, cstime = 0
pid = 193, utime = 0, stime = 65, cutime = 0, cstime = 0
pid = 194, utime = 5, stime = 0, cutime = 0, cstime = 0
pid = 195, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 196, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 198, utime = 0, stime = 26, cutime = 0, cstime = 0
pid = 200, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 209, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 212, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 226, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 268, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 293, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 294, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 295, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 296, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 297, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 298, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 299, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 300, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 301, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 302, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 303, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 304, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 305, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 306, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 307, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 308, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 311, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 312, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 321, utime = 0, stime = 6, cutime = 0, cstime = 0
pid = 322, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 323, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 324, utime = 9, stime = 0, cutime = 0, cstime = 0
pid = 325, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 326, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 327, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 328, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 329, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 350, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 353, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 354, utime = 0, stime = 5, cutime = 0, cstime = 0
pid = 355, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 357, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 369, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 370, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 372, utime = 0, stime = 2, cutime = 0, cstime = 0
pid = 375, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 389, utime = 0, stime = 3, cutime = 0, cstime = 0
pid = 390, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 393, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 394, utime = 1, stime = 0, cutime = 0, cstime = 0
pid = 407, utime = 23, stime = 37, cutime = 0, cstime = 0
pid = 411, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 419, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 423, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 433, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 435, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 437, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 440, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 441, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 444, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 445, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 447, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 449, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 451, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 454, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 456, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 460, utime = 0, stime = 1, cutime = 0, cstime = 0
pid = 464, utime = 19, stime = 4, cutime = 51, cstime = 322
pid = 465, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 466, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 467, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 468, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 515, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 521, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 522, utime = 0, stime = 0, cutime = 0, cstime = 0
pid = 523, utime = 0, stime = 0, cutime = 0, cstime = 0
